gene_id,transcript_id,exon_length,cds_length,utr_size,utr_percentage,match,species
CAGL0A01284g,CAGL0A01284g-T,4333,4206,127,2.930994691899377,False,C. glabrata
CAGL0A01325g,CAGL0A01325g-T,3523,1434,2089,59.29605449900652,False,C. glabrata
CAGL0A01366g,CAGL0A01366g-T,4519,4389,130,2.8767426421774727,False,C. glabrata
CAGL0A01408g,CAGL0A01408g-T,1903,1446,457,24.014713610089334,False,C. glabrata
CAGL0A01430g,CAGL0A01430g-T,2356,2124,232,9.847198641765704,False,C. glabrata
CAGL0A01452g,CAGL0A01452g-T,3261,2445,816,25.0229990800368,False,C. glabrata
CAGL0A01474g,CAGL0A01474g-T,1779,1779,0,0.0,True,C. glabrata
CAGL0A01540g,CAGL0A01540g-T,2000,318,1682,84.1,False,C. glabrata
CAGL0A01562g,CAGL0A01562g-T,1830,468,1362,74.42622950819671,False,C. glabrata
CAGL0A01584g,CAGL0A01584g-T,258,258,0,0.0,True,C. glabrata
CAGL0A01606g,CAGL0A01606g-T,738,648,90,12.195121951219512,False,C. glabrata
CAGL0A01628g,CAGL0A01628g-T,1569,1275,294,18.738049713193117,False,C. glabrata
CAGL0A01650g,CAGL0A01650g-T,1329,357,972,73.13769751693002,False,C. glabrata
CAGL0A01672g,CAGL0A01672g-T,2140,2085,55,2.570093457943925,False,C. glabrata
CAGL0A01694g,CAGL0A01694g-T,2177,1926,251,11.529627928341753,False,C. glabrata
CAGL0A01716g,CAGL0A01716g-T,913,636,277,30.339539978094194,False,C. glabrata
CAGL0A01738g,CAGL0A01738g-T,2519,1410,1109,44.025406907502976,False,C. glabrata
CAGL0A01760g,CAGL0A01760g-T,1962,1818,144,7.339449541284404,False,C. glabrata
CAGL0A01782g,CAGL0A01782g-T,2039,1707,332,16.282491417361452,False,C. glabrata
CAGL0A01804g,CAGL0A01804g-T,1750,1692,58,3.314285714285714,False,C. glabrata
CAGL0A01826g,CAGL0A01826g-T,2038,1767,271,13.297350343473994,False,C. glabrata
CAGL0A01848g,CAGL0A01848g-T,3460,2805,655,18.930635838150287,False,C. glabrata
CAGL0A01870g,CAGL0A01870g-T,3628,2385,1243,34.26130099228225,False,C. glabrata
CAGL0A01892g,CAGL0A01892g-T,267,267,0,0.0,True,C. glabrata
CAGL0A01914g,CAGL0A01914g-T,11537,11232,305,2.6436681979717433,False,C. glabrata
CAGL0A01958g,CAGL0A01958g-T,1726,1221,505,29.25840092699884,False,C. glabrata
CAGL0A01980g,CAGL0A01980g-T,2110,2028,82,3.886255924170616,False,C. glabrata
CAGL0A02002g,CAGL0A02002g-T,771,381,390,50.583657587548636,False,C. glabrata
CAGL0A02024g,CAGL0A02024g-T,2326,2073,253,10.877042132416165,False,C. glabrata
CAGL0A02046g,CAGL0A02046g-T,3286,2331,955,29.0626902008521,False,C. glabrata
CAGL0A02090g,CAGL0A02090g-T,2887,2022,865,29.961898164184277,False,C. glabrata
CAGL0A02112g,CAGL0A02112g-T,2339,1647,692,29.585292860196667,False,C. glabrata
CAGL0A02134g,CAGL0A02134g-T,1555,1248,307,19.742765273311896,False,C. glabrata
CAGL0A02145g,CAGL0A02145g-T,1276,1182,94,7.366771159874608,False,C. glabrata
CAGL0A02189g,CAGL0A02189g-T,1890,1818,72,3.8095238095238098,False,C. glabrata
CAGL0A02211g,CAGL0A02211g-T,2055,1659,396,19.27007299270073,False,C. glabrata
CAGL0A02233g,CAGL0A02233g-T,1882,1650,232,12.327311370882041,False,C. glabrata
CAGL0A02255g,CAGL0A02255g-T,1189,819,370,31.118587047939446,False,C. glabrata
CAGL0A02277g,CAGL0A02277g-T,819,819,0,0.0,True,C. glabrata
CAGL0A02299g,CAGL0A02299g-T,1767,840,927,52.46179966044142,False,C. glabrata
CAGL0A02321g,CAGL0A02321g-T,4069,1671,2398,58.933398869501104,False,C. glabrata
CAGL0A02343g,CAGL0A02343g-T,267,267,0,0.0,True,C. glabrata
CAGL0A02365g,CAGL0A02365g-T,2854,1332,1522,53.328661527680445,False,C. glabrata
CAGL0A02387g,CAGL0A02387g-T,3251,960,2291,70.47062442325438,False,C. glabrata
CAGL0A02409g,CAGL0A02409g-T,1768,1338,430,24.32126696832579,False,C. glabrata
CAGL0A02431g,CAGL0A02431g-T,2024,1764,260,12.845849802371543,False,C. glabrata
CAGL0A02475g,CAGL0A02475g-T,1878,1722,156,8.30670926517572,False,C. glabrata
CAGL0A02486g,CAGL0A02486g-T,2833,2601,232,8.189198729262266,False,C. glabrata
CAGL0A02508g,CAGL0A02508g-T,1193,951,242,20.284995808885164,False,C. glabrata
CAGL0A02530g,CAGL0A02530g-T,1122,960,162,14.43850267379679,False,C. glabrata
CAGL0A02552g,CAGL0A02552g-T,4846,1191,3655,75.42302930251753,False,C. glabrata
CAGL0A02574g,CAGL0A02574g-T,1140,1140,0,0.0,True,C. glabrata
CAGL0A02596g,CAGL0A02596g-T,2743,2619,124,4.520597885526795,False,C. glabrata
CAGL0A02618g,CAGL0A02618g-T,568,303,265,46.654929577464785,False,C. glabrata
CAGL0A02629g,CAGL0A02629g-T,2367,1767,600,25.34854245880862,False,C. glabrata
CAGL0A02651g,CAGL0A02651g-T,3424,3150,274,8.00233644859813,False,C. glabrata
CAGL0A02673g,CAGL0A02673g-T,990,831,159,16.060606060606062,False,C. glabrata
CAGL0A02695g,CAGL0A02695g-T,2139,2076,63,2.9453015427769986,False,C. glabrata
CAGL0A02706g,CAGL0A02706g-T,1110,1110,0,0.0,True,C. glabrata
CAGL0A02728g,CAGL0A02728g-T,273,273,0,0.0,True,C. glabrata
CAGL0A02750g,CAGL0A02750g-T,1492,1290,202,13.53887399463807,False,C. glabrata
CAGL0A02772g,CAGL0A02772g-T,1471,1326,145,9.857239972807614,False,C. glabrata
CAGL0A02794g,CAGL0A02794g-T,848,651,197,23.2311320754717,False,C. glabrata
CAGL0A02816g,CAGL0A02816g-T,1063,933,130,12.229539040451552,False,C. glabrata
CAGL0A02838g,CAGL0A02838g-T,2605,2487,118,4.529750479846449,False,C. glabrata
CAGL0A02860g,CAGL0A02860g-T,2389,1209,1180,49.393051485977395,False,C. glabrata
CAGL0A02882g,CAGL0A02882g-T,696,315,381,54.741379310344826,False,C. glabrata
CAGL0A02904g,CAGL0A02904g-T,1506,1506,0,0.0,True,C. glabrata
CAGL0A02926g,CAGL0A02926g-T,2125,987,1138,53.55294117647059,False,C. glabrata
CAGL0A02948g,CAGL0A02948g-T,1830,573,1257,68.68852459016394,False,C. glabrata
CAGL0A02970g,CAGL0A02970g-T,1326,930,396,29.86425339366516,False,C. glabrata
CAGL0A02981g,CAGL0A02981g-T,519,225,294,56.64739884393064,False,C. glabrata
CAGL0A02992g,CAGL0A02992g-T,1932,1374,558,28.88198757763975,False,C. glabrata
CAGL0A03014g,CAGL0A03014g-T,1506,1506,0,0.0,True,C. glabrata
CAGL0A03036g,CAGL0A03036g-T,306,306,0,0.0,True,C. glabrata
CAGL0A03051g,CAGL0A03051g-T,944,348,596,63.13559322033898,False,C. glabrata
CAGL0A03058g,CAGL0A03058g-T,2857,2379,478,16.73083654182709,False,C. glabrata
CAGL0A03080g,CAGL0A03080g-T,616,240,376,61.038961038961034,False,C. glabrata
CAGL0A03102g,CAGL0A03102g-T,2941,1950,991,33.69602176130568,False,C. glabrata
CAGL0A03117g,CAGL0A03117g-T,1123,699,424,37.7560106856634,False,C. glabrata
CAGL0A03146g,CAGL0A03146g-T,1225,348,877,71.59183673469389,False,C. glabrata
CAGL0A03168g,CAGL0A03168g-T,590,330,260,44.06779661016949,False,C. glabrata
CAGL0A03190g,CAGL0A03190g-T,810,726,84,10.37037037037037,False,C. glabrata
CAGL0A03212g,CAGL0A03212g-T,1135,807,328,28.898678414096917,False,C. glabrata
CAGL0A03234g,CAGL0A03234g-T,2742,2529,213,7.768052516411379,False,C. glabrata
CAGL0A03256g,CAGL0A03256g-T,1983,1887,96,4.841149773071105,False,C. glabrata
CAGL0A03278g,CAGL0A03278g-T,1199,570,629,52.460383653044204,False,C. glabrata
CAGL0A03300g,CAGL0A03300g-T,2834,1560,1274,44.95412844036697,False,C. glabrata
CAGL0A03322g,CAGL0A03322g-T,2676,1353,1323,49.43946188340807,False,C. glabrata
CAGL0A03344g,CAGL0A03344g-T,2642,1878,764,28.91748675246026,False,C. glabrata
CAGL0A03366g,CAGL0A03366g-T,2282,1773,509,22.304995617879054,False,C. glabrata
CAGL0A03388g,CAGL0A03388g-T,809,615,194,23.980222496909764,False,C. glabrata
CAGL0A03410g,CAGL0A03410g-T,927,744,183,19.741100323624593,False,C. glabrata
CAGL0A03432g,CAGL0A03432g-T,3642,3456,186,5.107084019769357,False,C. glabrata
CAGL0A03454g,CAGL0A03454g-T,1733,1461,272,15.69532602423543,False,C. glabrata
CAGL0A03476g,CAGL0A03476g-T,1698,1416,282,16.607773851590103,False,C. glabrata
CAGL0A03498g,CAGL0A03498g-T,2343,2040,303,12.93213828425096,False,C. glabrata
CAGL0A03542g,CAGL0A03542g-T,971,252,719,74.04737384140063,False,C. glabrata
CAGL0A03564g,CAGL0A03564g-T,3342,2982,360,10.771992818671453,False,C. glabrata
CAGL0A03586g,CAGL0A03586g-T,570,570,0,0.0,True,C. glabrata
CAGL0A03608g,CAGL0A03608g-T,1047,645,402,38.39541547277937,False,C. glabrata
CAGL0A03630g,CAGL0A03630g-T,3390,3189,201,5.929203539823009,False,C. glabrata
CAGL0A03652g,CAGL0A03652g-T,2388,2202,186,7.788944723618091,False,C. glabrata
CAGL0A03674g,CAGL0A03674g-T,1486,993,493,33.17631224764469,False,C. glabrata
CAGL0A03696g,CAGL0A03696g-T,2064,1248,816,39.53488372093023,False,C. glabrata
CAGL0A03718g,CAGL0A03718g-T,5612,4959,653,11.635780470420528,False,C. glabrata
CAGL0A03740g,CAGL0A03740g-T,2425,2247,178,7.340206185567011,False,C. glabrata
CAGL0A03784g,CAGL0A03784g-T,641,546,95,14.82059282371295,False,C. glabrata
CAGL0A03806g,CAGL0A03806g-T,1533,1413,120,7.8277886497064575,False,C. glabrata
CAGL0A03828g,CAGL0A03828g-T,1567,1431,136,8.679004467134652,False,C. glabrata
CAGL0A03872g,CAGL0A03872g-T,2210,1533,677,30.63348416289593,False,C. glabrata
CAGL0A03883g,CAGL0A03883g-T,1574,417,1157,73.50698856416773,False,C. glabrata
CAGL0A03905g,CAGL0A03905g-T,1974,939,1035,52.43161094224924,False,C. glabrata
CAGL0A03927g,CAGL0A03927g-T,1772,1314,458,25.84650112866817,False,C. glabrata
CAGL0A03949g,CAGL0A03949g-T,1233,807,426,34.54987834549878,False,C. glabrata
CAGL0A03971g,CAGL0A03971g-T,2342,321,2021,86.2937660119556,False,C. glabrata
CAGL0A03993g,CAGL0A03993g-T,1246,819,427,34.26966292134831,False,C. glabrata
CAGL0A04015g,CAGL0A04015g-T,1527,1527,0,0.0,True,C. glabrata
CAGL0A04037g,CAGL0A04037g-T,2117,1752,365,17.24137931034483,False,C. glabrata
CAGL0A04059g,CAGL0A04059g-T,1933,1356,577,29.849974133471292,False,C. glabrata
CAGL0A04081g,CAGL0A04081g-T,1224,1125,99,8.088235294117647,False,C. glabrata
CAGL0A04103g,CAGL0A04103g-T,899,555,344,38.26473859844272,False,C. glabrata
CAGL0A04125g,CAGL0A04125g-T,868,798,70,8.064516129032258,False,C. glabrata
CAGL0A04147g,CAGL0A04147g-T,2408,1176,1232,51.162790697674424,False,C. glabrata
CAGL0A04169g,CAGL0A04169g-T,2205,1710,495,22.448979591836736,False,C. glabrata
CAGL0A04191g,CAGL0A04191g-T,508,270,238,46.8503937007874,False,C. glabrata
CAGL0A04213g,CAGL0A04213g-T,2903,1920,983,33.861522562866,False,C. glabrata
CAGL0A04235g,CAGL0A04235g-T,2309,2160,149,6.453009961022088,False,C. glabrata
CAGL0A04257g,CAGL0A04257g-T,2605,1935,670,25.719769673704413,False,C. glabrata
CAGL0A04279g,CAGL0A04279g-T,1410,1155,255,18.085106382978726,False,C. glabrata
CAGL0A04301g,CAGL0A04301g-T,3045,1359,1686,55.36945812807882,False,C. glabrata
CAGL0A04323g,CAGL0A04323g-T,1863,651,1212,65.05636070853463,False,C. glabrata
CAGL0A04345g,CAGL0A04345g-T,1460,1179,281,19.246575342465754,False,C. glabrata
CAGL0A04367g,CAGL0A04367g-T,545,363,182,33.39449541284404,False,C. glabrata
CAGL0A04389g,CAGL0A04389g-T,1485,306,1179,79.39393939393939,False,C. glabrata
CAGL0A04411g,CAGL0A04411g-T,2591,1968,623,24.044770358934777,False,C. glabrata
CAGL0A04433g,CAGL0A04433g-T,1044,783,261,25.0,False,C. glabrata
CAGL0A04455g,CAGL0A04455g-T,3696,3297,399,10.795454545454545,False,C. glabrata
CAGL0A04477g,CAGL0A04477g-T,3260,2313,947,29.049079754601227,False,C. glabrata
CAGL0A04499g,CAGL0A04499g-T,974,249,725,74.435318275154,False,C. glabrata
CAGL0A04521g,CAGL0A04521g-T,606,606,0,0.0,True,C. glabrata
CAGL0A04543g,CAGL0A04543g-T,1381,1092,289,20.926864590876175,False,C. glabrata
CAGL0A04565g,CAGL0A04565g-T,3622,3126,496,13.694091662065158,False,C. glabrata
CAGL0A04587g,CAGL0A04587g-T,1842,1329,513,27.850162866449512,False,C. glabrata
CAGL0A04631g,CAGL0A04631g-T,1553,1086,467,30.070830650354154,False,C. glabrata
CAGL0A04653g,CAGL0A04653g-T,1729,1629,100,5.78368999421631,False,C. glabrata
CAGL0A04675g,CAGL0A04675g-T,1095,357,738,67.3972602739726,False,C. glabrata
CAGL0A04697g,CAGL0A04697g-T,1228,375,853,69.46254071661238,False,C. glabrata
CAGL0A04719g,CAGL0A04719g-T,1060,798,262,24.71698113207547,False,C. glabrata
CAGL0A04741g,CAGL0A04741g-T,2114,1611,503,23.793755912961213,False,C. glabrata
CAGL0A04785g,CAGL0A04785g-T,3564,1803,1761,49.41077441077441,False,C. glabrata
CAGL0A04807g,CAGL0A04807g-T,2808,798,2010,71.58119658119658,False,C. glabrata
CAGL0A04829g,CAGL0A04829g-T,9793,1461,8332,85.0811804350046,False,C. glabrata
CAGL0A04851g,CAGL0A04851g-T,26280,26280,0,0.0,True,C. glabrata
CAGL0B00154g,CAGL0B00154g-T,2868,2868,0,0.0,True,C. glabrata
CAGL0B00220g,CAGL0B00220g-T,1026,231,795,77.48538011695906,False,C. glabrata
CAGL0B00242g,CAGL0B00242g-T,555,555,0,0.0,True,C. glabrata
CAGL0B00264g,CAGL0B00264g-T,633,633,0,0.0,True,C. glabrata
CAGL0B00286g,CAGL0B00286g-T,6838,1083,5755,84.16203568294823,False,C. glabrata
CAGL0B00308g,CAGL0B00308g-T,4339,1293,3046,70.20050702926942,False,C. glabrata
CAGL0B00330g,CAGL0B00330g-T,3746,3411,335,8.942872397223706,False,C. glabrata
CAGL0B00352g,CAGL0B00352g-T,1406,1014,392,27.880512091038405,False,C. glabrata
CAGL0B00374g,CAGL0B00374g-T,1249,366,883,70.69655724579663,False,C. glabrata
CAGL0B00396g,CAGL0B00396g-T,2678,267,2411,90.02987303958177,False,C. glabrata
CAGL0B00418g,CAGL0B00418g-T,5474,2232,3242,59.22542930215564,False,C. glabrata
CAGL0B00440g,CAGL0B00440g-T,1340,810,530,39.55223880597015,False,C. glabrata
CAGL0B00462g,CAGL0B00462g-T,1083,975,108,9.97229916897507,False,C. glabrata
CAGL0B00484g,CAGL0B00484g-T,2593,2514,79,3.046664095642113,False,C. glabrata
CAGL0B00506g,CAGL0B00506g-T,4126,1251,2875,69.6800775569559,False,C. glabrata
CAGL0B00528g,CAGL0B00528g-T,4180,2022,2158,51.62679425837321,False,C. glabrata
CAGL0B00550g,CAGL0B00550g-T,4834,957,3877,80.20273065784029,False,C. glabrata
CAGL0B00572g,CAGL0B00572g-T,609,609,0,0.0,True,C. glabrata
CAGL0B00594g,CAGL0B00594g-T,198,198,0,0.0,True,C. glabrata
CAGL0B00616g,CAGL0B00616g-T,1313,1251,62,4.722010662604722,False,C. glabrata
CAGL0B00638g,CAGL0B00638g-T,915,828,87,9.508196721311474,False,C. glabrata
CAGL0B00660g,CAGL0B00660g-T,2453,2241,212,8.642478597635549,False,C. glabrata
CAGL0B00682g,CAGL0B00682g-T,1659,1452,207,12.47739602169982,False,C. glabrata
CAGL0B00704g,CAGL0B00704g-T,2181,1572,609,27.92297111416781,False,C. glabrata
CAGL0B00715g,CAGL0B00715g-T,669,231,438,65.47085201793722,False,C. glabrata
CAGL0B00726g,CAGL0B00726g-T,1251,1251,0,0.0,True,C. glabrata
CAGL0B00748g,CAGL0B00748g-T,3035,2439,596,19.637561779242173,False,C. glabrata
CAGL0B00770g,CAGL0B00770g-T,1750,1626,124,7.085714285714285,False,C. glabrata
CAGL0B00792g,CAGL0B00792g-T,2103,1338,765,36.37660485021398,False,C. glabrata
CAGL0B00814g,CAGL0B00814g-T,3229,1089,2140,66.27438835552802,False,C. glabrata
CAGL0B00836g,CAGL0B00836g-T,1990,492,1498,75.27638190954774,False,C. glabrata
CAGL0B00858g,CAGL0B00858g-T,1967,969,998,50.737163192679205,False,C. glabrata
CAGL0B00880g,CAGL0B00880g-T,1127,918,209,18.544809228039043,False,C. glabrata
CAGL0B00902g,CAGL0B00902g-T,2760,2409,351,12.717391304347824,False,C. glabrata
CAGL0B00924g,CAGL0B00924g-T,1588,1317,271,17.065491183879093,False,C. glabrata
CAGL0B00946g,CAGL0B00946g-T,1295,1185,110,8.494208494208493,False,C. glabrata
CAGL0B00968g,CAGL0B00968g-T,1239,1239,0,0.0,True,C. glabrata
CAGL0B00990g,CAGL0B00990g-T,3477,582,2895,83.26143226919758,False,C. glabrata
CAGL0B01012g,CAGL0B01012g-T,2712,1872,840,30.973451327433626,False,C. glabrata
CAGL0B01078g,CAGL0B01078g-T,2229,2229,0,0.0,True,C. glabrata
CAGL0B01100g,CAGL0B01100g-T,1447,633,814,56.25431928127159,False,C. glabrata
CAGL0B01122g,CAGL0B01122g-T,2533,1149,1384,54.63876825898144,False,C. glabrata
CAGL0B01144g,CAGL0B01144g-T,2991,1176,1815,60.682046138415245,False,C. glabrata
CAGL0B01166g,CAGL0B01166g-T,3059,2427,632,20.66034651847009,False,C. glabrata
CAGL0B01188g,CAGL0B01188g-T,2433,1587,846,34.77188655980271,False,C. glabrata
CAGL0B01203g,CAGL0B01203g-T,549,267,282,51.36612021857923,False,C. glabrata
CAGL0B01232g,CAGL0B01232g-T,1415,690,725,51.23674911660777,False,C. glabrata
CAGL0B01243g,CAGL0B01243g-T,432,432,0,0.0,True,C. glabrata
CAGL0B01265g,CAGL0B01265g-T,561,561,0,0.0,True,C. glabrata
CAGL0B01287g,CAGL0B01287g-T,5380,3744,1636,30.4089219330855,False,C. glabrata
CAGL0B01331g,CAGL0B01331g-T,1453,621,832,57.260839642119755,False,C. glabrata
CAGL0B01353g,CAGL0B01353g-T,3616,2058,1558,43.086283185840706,False,C. glabrata
CAGL0B01375g,CAGL0B01375g-T,3815,3333,482,12.634338138925294,False,C. glabrata
CAGL0B01397g,CAGL0B01397g-T,1779,1545,234,13.15345699831366,False,C. glabrata
CAGL0B01419g,CAGL0B01419g-T,760,507,253,33.28947368421053,False,C. glabrata
CAGL0B01441g,CAGL0B01441g-T,1548,1302,246,15.891472868217054,False,C. glabrata
CAGL0B01463g,CAGL0B01463g-T,965,705,260,26.94300518134715,False,C. glabrata
CAGL0B01485g,CAGL0B01485g-T,2167,2025,142,6.552838024919243,False,C. glabrata
CAGL0B01507g,CAGL0B01507g-T,1596,1284,312,19.548872180451127,False,C. glabrata
CAGL0B01529g,CAGL0B01529g-T,1473,1110,363,24.643584521384927,False,C. glabrata
CAGL0B01551g,CAGL0B01551g-T,5720,5091,629,10.996503496503497,False,C. glabrata
CAGL0B01573g,CAGL0B01573g-T,1871,672,1199,64.0833778727953,False,C. glabrata
CAGL0B01589g,CAGL0B01589g-T,500,234,266,53.2,False,C. glabrata
CAGL0B01595g,CAGL0B01595g-T,2443,2199,244,9.987720016373311,False,C. glabrata
CAGL0B01617g,CAGL0B01617g-T,2369,2127,242,10.215280709159984,False,C. glabrata
CAGL0B01639g,CAGL0B01639g-T,2550,2034,516,20.235294117647058,False,C. glabrata
CAGL0B01683g,CAGL0B01683g-T,3228,2076,1152,35.687732342007436,False,C. glabrata
CAGL0B01705g,CAGL0B01705g-T,2963,2019,944,31.859601754978062,False,C. glabrata
CAGL0B01727g,CAGL0B01727g-T,2321,1734,587,25.29082292115468,False,C. glabrata
CAGL0B01743g,CAGL0B01743g-T,870,870,0,0.0,True,C. glabrata
CAGL0B01771g,CAGL0B01771g-T,1761,1611,150,8.517887563884157,False,C. glabrata
CAGL0B01793g,CAGL0B01793g-T,654,375,279,42.6605504587156,False,C. glabrata
CAGL0B01815g,CAGL0B01815g-T,1170,873,297,25.384615384615383,False,C. glabrata
CAGL0B01837g,CAGL0B01837g-T,1834,1710,124,6.761177753544166,False,C. glabrata
CAGL0B01859g,CAGL0B01859g-T,2071,1869,202,9.753742153549009,False,C. glabrata
CAGL0B01875g,CAGL0B01875g-T,525,225,300,57.14285714285714,False,C. glabrata
CAGL0B01881g,CAGL0B01881g-T,2904,1662,1242,42.768595041322314,False,C. glabrata
CAGL0B01903g,CAGL0B01903g-T,657,576,81,12.32876712328767,False,C. glabrata
CAGL0B01925g,CAGL0B01925g-T,2963,2835,128,4.3199460006749915,False,C. glabrata
CAGL0B01947g,CAGL0B01947g-T,1737,1299,438,25.215889464594127,False,C. glabrata
CAGL0B01969g,CAGL0B01969g-T,1610,1272,338,20.99378881987578,False,C. glabrata
CAGL0B01991g,CAGL0B01991g-T,1368,993,375,27.412280701754387,False,C. glabrata
CAGL0B02013g,CAGL0B02013g-T,6365,3363,3002,47.16417910447761,False,C. glabrata
CAGL0B02035g,CAGL0B02035g-T,2163,1935,228,10.540915395284326,False,C. glabrata
CAGL0B02057g,CAGL0B02057g-T,1138,804,334,29.349736379613354,False,C. glabrata
CAGL0B02079g,CAGL0B02079g-T,2083,1875,208,9.985597695631302,False,C. glabrata
CAGL0B02101g,CAGL0B02101g-T,1756,1338,418,23.804100227790435,False,C. glabrata
CAGL0B02123g,CAGL0B02123g-T,2056,828,1228,59.72762645914397,False,C. glabrata
CAGL0B02145g,CAGL0B02145g-T,2373,1866,507,21.3653603034134,False,C. glabrata
CAGL0B02167g,CAGL0B02167g-T,994,792,202,20.321931589537222,False,C. glabrata
CAGL0B02189g,CAGL0B02189g-T,3388,3264,124,3.659976387249114,False,C. glabrata
CAGL0B02211g,CAGL0B02211g-T,7247,6375,872,12.032565199392852,False,C. glabrata
CAGL0B02233g,CAGL0B02233g-T,2260,1824,436,19.29203539823009,False,C. glabrata
CAGL0B02255g,CAGL0B02255g-T,624,324,300,48.07692307692308,False,C. glabrata
CAGL0B02277g,CAGL0B02277g-T,1106,693,413,37.34177215189873,False,C. glabrata
CAGL0B02299g,CAGL0B02299g-T,2643,1932,711,26.901248581157777,False,C. glabrata
CAGL0B02321g,CAGL0B02321g-T,2099,1539,560,26.679371129109096,False,C. glabrata
CAGL0B02343g,CAGL0B02343g-T,1800,1614,186,10.333333333333334,False,C. glabrata
